e	え
uve	うヴぇ
uvu	うヴ
uvi	うヴぃ
uvo	うヴぉ
uva	うヴぁ
ube	うべ
ubu	うぶ
ubi	うび
ubo	うぼ
uba	うば
une	うね
unu	うぬ
uni	うに
uno	うの
una	うな
unn	うん
ume	うめ
umu	うむ
umi	うみ
umo	うも
uma	うま
iqe	いくぇ
iqu	いく
iqi	いくぃ
iqo	いくぉ
iqa	いくぁ
iwe	いうぇ
iwu	いう
iwi	いうぃ
iwo	いを
iwa	いわ
iee	いええ
ieu	いえう
iei	いえい
ieo	いえお
iea	いえあ
ire	いれ
iru	いる
iri	いり
iro	いろ
ira	いら
ite	いて
itu	いつ
iti	いち
ito	いと
ita	いた
iye	いいぇ
iyu	いゆ
iyi	いい
iyo	いよ
iya	いや
iue	いうえ
iuu	いうう
iui	いうい
iuo	いうお
iua	いうあ
iie	いいえ
iiu	いいう
iii	いいい
iio	いいお
iia	いいあ
ioe	いおえ
iou	いおう
ioi	いおい
ioo	いおお
ioa	いおあ
ipe	いぺ
ipu	いぷ
ipi	いぴ
ipo	いぽ
ipa	いぱ
iae	いあえ
iau	いあう
iai	いあい
iao	いあお
iaa	いああ
ise	いせ
isu	いす
isi	いし
iso	いそ
isa	いさ
ide	いで
idu	いづ
idi	いぢ
ido	いど
ida	いだ
ife	いふぇ
ifu	いふ
ifi	いふぃ
ifo	いふぉ
ifa	いふぁ
ige	いげ
igu	いぐ
igi	いぎ
igo	いご
iga	いが
ihe	いへ
ihu	いふ
ihi	いひ
iho	いほ
iha	いは
ije	いじぇ
iju	いじゅ
iji	いじ
ijo	いじょ
ija	いじゃ
ike	いけ
iku	いく
iki	いき
iko	いこ
ika	いか
ile	いぇ
ilu	いぅ
ili	いぃ
ilo	いぉ
ila	いぁ
ize	いぜ
izu	いず
izi	いじ
izo	いぞ
iza	いざ
ixe	いぇ
ixu	いぅ
ixi	いぃ
ixo	いぉ
ixa	いぁ
ixn	いん
ice	いせ
icu	いく
ici	いし
ico	いこ
ica	いか
ive	いヴぇ
ivu	いヴ
ivi	いヴぃ
ivo	いヴぉ
iva	いヴぁ
ibe	いべ
ibu	いぶ
ibi	いび
ibo	いぼ
iba	いば
ine	いね
inu	いぬ
ini	いに
ino	いの
ina	いな
inn	いん
ime	いめ
imu	いむ
imi	いみ
imo	いも
ima	いま
oqe	おくぇ
oqu	おく
oqi	おくぃ
oqo	おくぉ
oqa	おくぁ
owe	おうぇ
owu	おう
owi	おうぃ
owo	おを
owa	おわ
oee	おええ
oeu	おえう
oei	おえい
oeo	おえお
oea	おえあ
ore	おれ
oru	おる
ori	おり
oro	おろ
ora	おら
ote	おて
otu	おつ
oti	おち
oto	おと
ota	おた
oye	おいぇ
oyu	おゆ
oyi	おい
oyo	およ
oya	おや
oue	おうえ
ouu	おうう
oui	おうい
ouo	おうお
oua	おうあ
oie	おいえ
oiu	おいう
oii	おいい
oio	おいお
oia	おいあ
ooe	おおえ
oou	おおう
ooi	おおい
ooo	おおお
ooa	おおあ
ope	おぺ
opu	おぷ
opi	おぴ
opo	おぽ
opa	おぱ
oae	おあえ
oau	おあう
oai	おあい
oao	おあお
oaa	おああ
ose	おせ
osu	おす
osi	おし
oso	おそ
osa	おさ
ode	おで
odu	おづ
odi	おぢ
odo	おど
oda	おだ
ofe	おふぇ
ofu	おふ
ofi	おふぃ
ofo	おふぉ
ofa	おふぁ
oge	おげ
ogu	おぐ
ogi	おぎ
ogo	おご
oga	おが
ohe	おへ
ohu	おふ
ohi	おひ
oho	おほ
oha	おは
oje	おじぇ
oju	おじゅ
oji	おじ
ojo	おじょ
oja	おじゃ
oke	おけ
oku	おく
oki	おき
oko	おこ
oka	おか
ole	おぇ
olu	おぅ
oli	おぃ
olo	おぉ
ola	おぁ
oze	おぜ
ozu	おず
ozi	おじ
ozo	おぞ
oza	おざ
oxe	おぇ
oxu	おぅ
oxi	おぃ
oxo	おぉ
oxa	おぁ
oxn	おん
oce	おせ
ocu	おく
oci	おし
oco	おこ
oca	おか
ove	おヴぇ
ovu	おヴ
ovi	おヴぃ
ovo	おヴぉ
ova	おヴぁ
obe	おべ
obu	おぶ
obi	おび
obo	おぼ
oba	おば
one	おね
onu	おぬ
oni	おに
ono	おの
ona	おな
onn	おん
ome	おめ
omu	おむ
omi	おみ
omo	おも
oma	おま
pee	ぺえ
peu	ぺう
pei	ぺい
peo	ぺお
pea	ぺあ
pye	ぴぇ
pyu	ぴゅ
pyi	ぴぃ
pyo	ぴょ
pya	ぴゃ
pue	ぷえ
puu	ぷう
pui	ぷい
puo	ぷお
pua	ぷあ
pie	ぴえ
piu	ぴう
pii	ぴい
pio	ぴお
pia	ぴあ
poe	ぽえ
pou	ぽう
poi	ぽい
poo	ぽお
poa	ぽあ
ppe	っぺ
ppu	っぷ
ppi	っぴ
ppo	っぽ
ppa	っぱ
pae	ぱえ
pau	ぱう
pai	ぱい
pao	ぱお
paa	ぱあ
aqe	あくぇ
aqu	あく
aqi	あくぃ
aqo	あくぉ
aqa	あくぁ
awe	あうぇ
awu	あう
awi	あうぃ
awo	あを
awa	あわ
aee	あええ
aeu	あえう
aei	あえい
aeo	あえお
aea	あえあ
are	あれ
aru	ある
ari	あり
aro	あろ
ara	あら
ate	あて
atu	あつ
ati	あち
ato	あと
ata	あた
aye	あいぇ
ayu	あゆ
ayi	あい
ayo	あよ
aya	あや
aue	あうえ
auu	あうう
aui	あうい
auo	あうお
aua	あうあ
aie	あいえ
aiu	あいう
aii	あいい
aio	あいお
aia	あいあ
aoe	あおえ
aou	あおう
aoi	あおい
aoo	あおお
aoa	あおあ
ape	あぺ
apu	あぷ
api	あぴ
apo	あぽ
apa	あぱ
aae	ああえ
aau	ああう
aai	ああい
aao	ああお
aaa	あああ
ase	あせ
asu	あす
asi	あし
aso	あそ
asa	あさ
ade	あで
adu	あづ
adi	あぢ
ado	あど
ada	あだ
afe	あふぇ
afu	あふ
afi	あふぃ
afo	あふぉ
afa	あふぁ
age	あげ
agu	あぐ
agi	あぎ
ago	あご
aga	あが
ahe	あへ
ahu	あふ
ahi	あひ
aho	あほ
aha	あは
aje	あじぇ
aju	あじゅ
aji	あじ
ajo	あじょ
aja	あじゃ
ake	あけ
aku	あく
aki	あき
ako	あこ
aka	あか
ale	あぇ
alu	あぅ
ali	あぃ
alo	あぉ
ala	あぁ
aze	あぜ
azu	あず
azi	あじ
azo	あぞ
aza	あざ
axe	あぇ
axu	あぅ
axi	あぃ
axo	あぉ
axa	あぁ
axn	あん
ace	あせ
acu	あく
aci	あし
aco	あこ
aca	あか
ave	あヴぇ
avu	あヴ
avi	あヴぃ
avo	あヴぉ
ava	あヴぁ
abe	あべ
abu	あぶ
abi	あび
abo	あぼ
aba	あば
ane	あね
anu	あぬ
ani	あに
ano	あの
ana	あな
ann	あん
ame	あめ
amu	あむ
ami	あみ
amo	あも
ama	あま
swe	すぇ
swu	すぅ
swi	すぃ
swo	すぉ
swa	すぁ
see	せえ
seu	せう
sei	せい
seo	せお
sea	せあ
sye	しぇ
syu	しゅ
syi	しぃ
syo	しょ
sya	しゃ
sue	すえ
suu	すう
sui	すい
suo	すお
sua	すあ
sie	しえ
siu	しう
sii	しい
sio	しお
sia	しあ
soe	そえ
sou	そう
soi	そい
soo	そお
soa	そあ
sae	さえ
sau	さう
sai	さい
sao	さお
saa	さあ
sse	っせ
ssu	っす
ssi	っし
sso	っそ
ssa	っさ
she	しぇ
shu	しゅ
shi	し
sho	しょ
sha	しゃ
dwe	どぇ
dwu	どぅ
dwi	どぃ
dwo	どぉ
dwa	どぁ
dee	でえ
deu	でう
dei	でい
deo	でお
dea	であ
dye	ぢぇ
dyu	ぢゅ
dyi	ぢぃ
dyo	ぢょ
dya	ぢゃ
due	づえ
duu	づう
dui	づい
duo	づお
dua	づあ
die	ぢえ
diu	ぢう
dii	ぢい
dio	ぢお
dia	ぢあ
doe	どえ
dou	どう
doi	どい
doo	どお
doa	どあ
dae	だえ
dau	だう
dai	だい
dao	だお
daa	だあ
dde	っで
ddu	っづ
ddi	っぢ
ddo	っど
dda	っだ
dhe	でぇ
dhu	でゅ
dhi	でぃ
dho	でょ
dha	でゃ
fwe	ふぇ
fwu	ふぅ
fwi	ふぃ
fwo	ふぉ
fwa	ふぁ
fee	ふぇえ
feu	ふぇう
fei	ふぇい
feo	ふぇお
fea	ふぇあ
fye	ふぇ
fyu	ふゅ
fyi	ふぃ
fyo	ふょ
fya	ふゃ
fue	ふえ
fuu	ふう
fui	ふい
fuo	ふお
fua	ふあ
fie	ふぃえ
fiu	ふぃう
fii	ふぃい
fio	ふぃお
fia	ふぃあ
foe	ふぉえ
fou	ふぉう
foi	ふぉい
foo	ふぉお
foa	ふぉあ
fae	ふぁえ
fau	ふぁう
fai	ふぁい
fao	ふぁお
faa	ふぁあ
ffe	っふぇ
ffu	っふ
ffi	っふぃ
ffo	っふぉ
ffa	っふぁ
gwe	ぐぇ
gwu	ぐぅ
gwi	ぐぃ
gwo	ぐぉ
gwa	ぐぁ
gee	げえ
geu	げう
gei	げい
geo	げお
gea	げあ
gye	ぎぇ
gyu	ぎゅ
gyi	ぎぃ
gyo	ぎょ
gya	ぎゃ
gue	ぐえ
guu	ぐう
gui	ぐい
guo	ぐお
gua	ぐあ
gie	ぎえ
giu	ぎう
gii	ぎい
gio	ぎお
gia	ぎあ
goe	ごえ
gou	ごう
goi	ごい
goo	ごお
goa	ごあ
gae	がえ
gau	がう
gai	がい
gao	がお
gaa	があ
gge	っげ
ggu	っぐ
ggi	っぎ
ggo	っご
gga	っが
hee	へえ
heu	へう
hei	へい
heo	へお
hea	へあ
hye	ひぇ
hyu	ひゅ
hyi	ひぃ
hyo	ひょ
hya	ひゃ
hue	ふえ
huu	ふう
hui	ふい
huo	ふお
hua	ふあ
hie	ひえ
hiu	ひう
hii	ひい
hio	ひお
hia	ひあ
hoe	ほえ
hou	ほう
hoi	ほい
hoo	ほお
hoa	ほあ
hae	はえ
hau	はう
hai	はい
hao	はお
haa	はあ
hhe	っへ
hhu	っふ
hhi	っひ
hho	っほ
hha	っは
jee	じぇえ
jeu	じぇう
jei	じぇい
jeo	じぇお
jea	じぇあ
jye	じぇ
jyu	じゅ
jyi	じぃ
jyo	じょ
jya	じゃ
jue	じゅえ
juu	じゅう
jui	じゅい
juo	じゅお
jua	じゅあ
jie	じえ
jiu	じう
jii	じい
jio	じお
jia	じあ
joe	じょえ
jou	じょう
joi	じょい
joo	じょお
joa	じょあ
jae	じゃえ
jau	じゃう
jai	じゃい
jao	じゃお
jaa	じゃあ
jje	っじぇ
jju	っじゅ
jji	っじ
jjo	っじょ
jja	っじゃ
kwa	くぁ
kee	けえ
keu	けう
kei	けい
keo	けお
kea	けあ
kye	きぇ
kyu	きゅ
kyi	きぃ
kyo	きょ
kya	きゃ
kue	くえ
kuu	くう
kui	くい
kuo	くお
kua	くあ
kie	きえ
kiu	きう
kii	きい
kio	きお
kia	きあ
koe	こえ
kou	こう
koi	こい
koo	こお
koa	こあ
kae	かえ
kau	かう
kai	かい
kao	かお
kaa	かあ
kke	っけ
kku	っく
kki	っき
kko	っこ
kka	っか
lwa	ゎ
lee	ぇえ
leu	ぇう
lei	ぇい
leo	ぇお
lea	ぇあ
ltu	っ
lye	ぇ
lyu	ゅ
lyi	ぃ
lyo	ょ
lya	ゃ
lue	ぅえ
luu	ぅう
lui	ぅい
luo	ぅお
lua	ぅあ
lie	ぃえ
liu	ぃう
lii	ぃい
lio	ぃお
lia	ぃあ
loe	ぉえ
lou	ぉう
loi	ぉい
loo	ぉお
loa	ぉあ
lae	ぁえ
lau	ぁう
lai	ぁい
lao	ぁお
laa	ぁあ
lke	ヶ
lka	ヵ
lle	っぇ
llu	っぅ
lli	っぃ
llo	っぉ
lla	っぁ
zee	ぜえ
zeu	ぜう
zei	ぜい
zeo	ぜお
zea	ぜあ
zye	じぇ
zyu	じゅ
zyi	じぃ
zyo	じょ
zya	じゃ
zue	ずえ
zuu	ずう
zui	ずい
zuo	ずお
zua	ずあ
zie	じえ
ziu	じう
zii	じい
zio	じお
zia	じあ
zoe	ぞえ
zou	ぞう
zoi	ぞい
zoo	ぞお
zoa	ぞあ
zae	ざえ
zau	ざう
zai	ざい
zao	ざお
zaa	ざあ
zze	っぜ
zzu	っず
zzi	っじ
zzo	っぞ
zza	っざ
xwa	ゎ
xee	ぇえ
xeu	ぇう
xei	ぇい
xeo	ぇお
xea	ぇあ
xtu	っ
xye	ぇ
xyu	ゅ
xyi	ぃ
xyo	ょ
xya	ゃ
xue	ぅえ
xuu	ぅう
xui	ぅい
xuo	ぅお
xua	ぅあ
xie	ぃえ
xiu	ぃう
xii	ぃい
xio	ぃお
xia	ぃあ
xoe	ぉえ
xou	ぉう
xoi	ぉい
xoo	ぉお
xoa	ぉあ
xae	ぁえ
xau	ぁう
xai	ぁい
xao	ぁお
xaa	ぁあ
xke	ヶ
xka	ヵ
xxe	っぇ
xxu	っぅ
xxi	っぃ
xxo	っぉ
xxa	っぁ
xxn	っん
xne	んえ
xnu	んう
xni	んい
xno	んお
xna	んあ
cee	せえ
ceu	せう
cei	せい
ceo	せお
cea	せあ
cye	ちぇ
cyu	ちゅ
cyi	ちぃ
cyo	ちょ
cya	ちゃ
cue	くえ
cuu	くう
cui	くい
cuo	くお
cua	くあ
cie	しえ
ciu	しう
cii	しい
cio	しお
cia	しあ
coe	こえ
cou	こう
coi	こい
coo	こお
coa	こあ
cae	かえ
cau	かう
cai	かい
cao	かお
caa	かあ
che	ちぇ
chu	ちゅ
chi	ち
cho	ちょ
cha	ちゃ
cce	っせ
ccu	っく
cci	っし
cco	っこ
cca	っか
vee	ヴぇえ
veu	ヴぇう
vei	ヴぇい
veo	ヴぇお
vea	ヴぇあ
vye	ヴぇ
vyu	ヴゅ
vyi	ヴぃ
vyo	ヴょ
vya	ヴゃ
vue	ヴえ
vuu	ヴう
vui	ヴい
vuo	ヴお
vua	ヴあ
vie	ヴぃえ
viu	ヴぃう
vii	ヴぃい
vio	ヴぃお
via	ヴぃあ
voe	ヴぉえ
vou	ヴぉう
voi	ヴぉい
voo	ヴぉお
voa	ヴぉあ
vae	ヴぁえ
vau	ヴぁう
vai	ヴぁい
vao	ヴぁお
vaa	ヴぁあ
vve	っヴぇ
vvu	っヴ
vvi	っヴぃ
vvo	っヴぉ
vva	っヴぁ
bee	べえ
beu	べう
bei	べい
beo	べお
bea	べあ
bye	びぇ
byu	びゅ
byi	びぃ
byo	びょ
bya	びゃ
bue	ぶえ
buu	ぶう
bui	ぶい
buo	ぶお
bua	ぶあ
bie	びえ
biu	びう
bii	びい
bio	びお
bia	びあ
boe	ぼえ
bou	ぼう
boi	ぼい
boo	ぼお
boa	ぼあ
bae	ばえ
bau	ばう
bai	ばい
bao	ばお
baa	ばあ
bbe	っべ
bbu	っぶ
bbi	っび
bbo	っぼ
bba	っば
nqe	んくぇ
nqu	んく
nqi	んくぃ
nqo	んくぉ
nqa	んくぁ
nwe	んうぇ
nwu	んう
nwi	んうぃ
nwo	んを
nwa	んわ
nee	ねえ
neu	ねう
nei	ねい
neo	ねお
nea	ねあ
nre	んれ
nru	んる
nri	んり
nro	んろ
nra	んら
nte	んて
ntu	んつ
nti	んち
nto	んと
nta	んた
nye	にぇ
nyu	にゅ
nyi	にぃ
nyo	にょ
nya	にゃ
nue	ぬえ
nuu	ぬう
nui	ぬい
nuo	ぬお
nua	ぬあ
nie	にえ
niu	にう
nii	にい
nio	にお
nia	にあ
noe	のえ
nou	のう
noi	のい
noo	のお
noa	のあ
npe	んぺ
npu	んぷ
npi	んぴ
npo	んぽ
npa	んぱ
nae	なえ
nau	なう
nai	ない
nao	なお
naa	なあ
nse	んせ
nsu	んす
nsi	んし
nso	んそ
nsa	んさ
nde	んで
ndu	んづ
ndi	んぢ
ndo	んど
nda	んだ
nfe	んふぇ
nfu	んふ
nfi	んふぃ
nfo	んふぉ
nfa	んふぁ
nge	んげ
ngu	んぐ
ngi	んぎ
ngo	んご
nga	んが
nhe	んへ
nhu	んふ
nhi	んひ
nho	んほ
nha	んは
nje	んじぇ
nju	んじゅ
nji	んじ
njo	んじょ
nja	んじゃ
nke	んけ
nku	んく
nki	んき
nko	んこ
nka	んか
nle	んぇ
nlu	んぅ
nli	んぃ
nlo	んぉ
nla	んぁ
nze	んぜ
nzu	んず
nzi	んじ
nzo	んぞ
nza	んざ
nxe	んぇ
nxu	んぅ
nxi	んぃ
nxo	んぉ
nxa	んぁ
nxn	んん
nce	んせ
ncu	んく
nci	んし
nco	んこ
nca	んか
nve	んヴぇ
nvu	んヴ
nvi	んヴぃ
nvo	んヴぉ
nva	んヴぁ
nbe	んべ
nbu	んぶ
nbi	んび
nbo	んぼ
nba	んば
nne	んえ
nnu	んう
nni	んい
nno	んお
nna	んあ
nme	んめ
nmu	んむ
nmi	んみ
nmo	んも
nma	んま
mee	めえ
meu	めう
mei	めい
meo	めお
mea	めあ
mye	みぇ
myu	みゅ
myi	みぃ
myo	みょ
mya	みゃ
mue	むえ
muu	むう
mui	むい
muo	むお
mua	むあ
mie	みえ
miu	みう
mii	みい
mio	みお
mia	みあ
moe	もえ
mou	もう
moi	もい
moo	もお
moa	もあ
mae	まえ
mau	まう
mai	まい
mao	まお
maa	まあ
mme	っめ
mmu	っむ
mmi	っみ
mmo	っも
mma	っま
